GVKEY,YEAR,CUSIP,CITY,CONAME,INDDESC,STATE,EXECID,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,EXEC_MNAME,GENDER,NAMEPREFIX,PAGE,TITLE,Birthdate,Astrological_Sign,rownum,month,day,CEO,CEO_top,CEO_low,chief_including CEO,Chief_excluding CEO,chief_low,chief_low_CEO_low,SVP,VP,VP_SVP
29028,1940,22160K10,Issaquah,COSTCO WHOLESALE CORP,Hypermarkets & Super Centers,WA,34740,Thomas,Thomas K. Walker,Walker,J.,MALE,Mr.,76,executive vp-construction & distribution,12/23/1940,Capricorn,2983,12,23,,,,,,0,0,,1,1
5581,1940,42345210,Tulsa,HELMERICH & PAYNE,Oil & Gas Drilling,OK,2453,George,George S. Dotson,Dotson,S.,MALE,Mr.,76,vp; president-drilling subsidiary,12/25/1940,Capricorn,1111,12,25,,,,,,0,0,1,,1
31673,1941,3.07E+13,Chesterbrook,AMERISOURCEBERGEN CORP,Health Care Distributors,PA,34824,Jeanne,Jeanne Fisher,Fisher,,FEMA,Ms.,75,senior vp-human resources,1/9/1941,Capricorn,1629,1,9,,,,,,0,0,1,,1
11456,1941,96216610,Seattle,WEYERHAEUSER CO,Specialized REITs,WA,3465,Willia,William R. Corbin,Corbin,R.,MALE,Mr.,,executive vp,1/14/1941,Capricorn,3326,1,14,,,,,,0,0,,1,1
4213,1941,27886510,St. Paul,ECOLAB INC,Specialty Chemicals,MN,24590,Mauriz,Maurizio Nisita,Nisita,,MALE,Mr.,,senior vp-global operations,1/24/1941,Aquarius,2489,1,24,,,,,,0,0,1,,1
8272,1941,81685110,San Diego,SEMPRA ENERGY,Multi-Utilities,CA,18736,John,John R. Light,Light,R.,MALE,Mr.,,executive vp & general counsel,2/13/1941,Aquarius,1956,2,13,,,,,,0,0,,1,1
6781,1941,54042410,New York,LOEWS CORP,Multi-line Insurance,NY,18937,Arthur,Arthur L. Rebell,Rebell,L.,MALE,Mr.,,senior vp,2/13/1941,Aquarius,226,2,13,,,,,,0,0,1,,1
2403,1941,11012210,New York,BRISTOL-MYERS SQUIBB CO,Pharmaceuticals,NY,14366,John,John L. McGoldrick,McGoldrick,L.,MALE,Mr.,,executive vp,3/2/1941,Pisces,1898,3,2,,,,,,0,0,,1,1
6682,1941,52728810,New York,LEUCADIA NATIONAL CORP,Multi-Sector Holdings,NY,21594,H.,H. E. Scruggs,Scruggs,E.,MALE,Mr.,,vice president,4/30/1941,taurus,1233,4,30,,,,,,0,0,,1,1
5492,1941,41387510,Melbourne,HARRIS CORP,Communications Equipment,FL,2424,Bryan,Bryan R. Roub,Roub,R.,MALE,Mr.,,senior vp,5/1/1941,Taurus,426,5,1,,,,,,0,0,1,,1
4503,1941,30231G10,Irving,EXXON MOBIL CORP,Integrated Oil & Gas,TX,5779,Harry,Harry J. Longwell,Longwell,J.,MALE,Mr.,75,executive vp,7/20/1941,cancer,1267,7,20,,,,,,0,0,,1,1
28349,1941,2000210,Northbrook,ALLSTATE CORP,Property & Casualty Insurance,IL,24602,Robert,Robert W. Pike,Pike,W.,MALE,Mr.,75,vp & secretary,7/25/1941,Leo,3639,7,25,,,,,,0,0,,1,1
8151,1941,68268010,Tulsa,ONEOK INC,Oil & Gas Storage & Transportation,OK,18136,John,"John A. Gaberino, Jr.","Gaberino, Jr.",A.,MALE,Mr.,,senior vp & special counsel to the chairman,8/6/1941,Leo,1770,8,6,,,,,,0,0,1,,1
25356,1941,30219G10,Saint Louis,EXPRESS SCRIPTS HOLDING CO,Health Care Services,MO,6738,Stuart,Stuart L. Bascomb,Bascomb,L.,MALE,Mr.,75,executive vp,8/7/1941,Leo,4018,8,7,,,,,,0,0,,1,1
6730,1941,53245710,Indianapolis,LILLY (ELI) & CO,Pharmaceuticals,IN,10411,August,August M. Watanabe,Watanabe,M.,MALE,Mr.,75,executive vp-science & technology,8/17/1941,Leo,238,8,17,,,,,,0,0,,1,1
4503,1941,30231G10,Irving,EXXON MOBIL CORP,Integrated Oil & Gas,TX,10440,Rene,Rene Dahan,Dahan,,MALE,Mr.,75,executive vp,8/26/1941,Virgo,3548,8,26,,,,,,0,0,,1,1
144066,1941,77434110,Cedar Rapids,ROCKWELL COLLINS INC,Aerospace & Defense,IA,22810,Herman,Herman M. Reininga,Reininga,M.,MALE,Mr.,,senior vp-operations,10/7/1941,libra,1294,10,7,,,,,,0,0,1,,1
4029,1941,25746U10,Richmond,DOMINION ENERGY INC,Multi-Utilities,VA,24478,James,James L. Sanderlin,Sanderlin,L.,MALE,Mr.,,senior vp-law,10/20/1941,Libra,1510,10,20,,,,,,0,0,1,,1
2019,1942,6405810,New York,BANK OF NEW YORK MELLON CORP,Asset Management & Custody Banks,NY,19020,Robert,Robert J. Mueller,Mueller,J.,MALE,Mr.,,senior executive vp,1/23/1942,Aquarius,2854,1,23,,,,,,0,0,1,,1
1449,1942,105510,Columbus,AFLAC INC,Life & Health Insurance,GA,14370,Joseph,Joseph P. Kuechenmeister,Kuechenmeiste,P.,MALE,Mr.,,senior vp; director-sales and marketing-AFLAC U.S.,2/7/1942,Aquarius,2102,2,7,,,,,,0,0,1,,1
140760,1942,61166W10,St. Louis,MONSANTO CO,Fertilizers & Agricultural Chemicals,MO,23084,Steven,Steven L. Engelberg,Engelberg,L.,MALE,Mr.,,senior vp-government affairs,3/15/1942,,3984,3,15,,,,,,0,0,1,,1
165993,1942,31620M10,Jacksonville,FIDELITY NATIONAL INFO SVCS,Data Processing & Outsourced Services,FL,28066,Walter,Walter M. Korchun,Korchun,M.,MALE,Mr.,,"executive vp, general counsel & secretary",3/20/1942,Pisces,3185,3,20,,,,,,0,0,,1,1
7085,1942,57459910,Taylor,MASCO CORP,Building Products,MI,32692,Eugene,"Eugene A. Gargaro, Jr.","Gargaro, Jr.",A.,MALE,Mr.,73,retired vp & secretary,3/29/1942,Aries,915,3,29,,,,,,0,0,,1,1
11264,1942,93142710,Deerfield,WALGREENS BOOTS ALLIANCE INC,Drug Retail,IL,20262,Jerome,Jerome B. Karlin,Karlin,B.,MALE,Mr.,,former executive vp,4/6/1942,Aries,1722,4,6,,,,,,0,0,,1,1
7154,1942,58013510,Oak Brook,MCDONALD'S CORP,Restaurants,IL,23323,Stanle,Stanley R. Stein,Stein,R.,MALE,Mr.,74,corporate executive vp-human resources,4/17/1942,Aries,3851,4,17,,,,,,0,0,1,,1
13714,1942,12485720,New York,CBS CORP,Broadcasting,NY,14928,Willia,William A. Roskin,Roskin,A.,MALE,Mr.,,senior vp-human resources and administration,4/20/1942,Taurus,3232,4,20,,,,,,0,0,1,,1
5492,1942,41387510,Melbourne,HARRIS CORP,Communications Equipment,FL,20224,Nick,Nick E. Heldreth,Heldreth,E.,MALE,Mr.,,vp-human resources and corporate relations,4/24/1942,Taurus,5012,4,24,,,,,,0,0,,1,1
11399,1942,95810210,Irvine,WESTERN DIGITAL CORP,"Technology Hardware, Storage & Peripherals",CA,20188,Michae,Michael A. Cornelius,Cornelius,A.,MALE,Mr.,,vp-law & administration,5/15/1942,Taurus,2503,5,15,,,,,,0,0,,1,1
10096,1942,74460D10,Glendale,PUBLIC STORAGE,Specialized REITs,CA,21083,Marvin,Marvin M. Lotz,Lotz,M.,MALE,Mr.,74,senior vp,8/6/1942,Leo,2443,8,6,,,,,,0,0,1,,1
64166,1942,74834L10,Madison,QUEST DIAGNOSTICS INC,Health Care Services,NJ,19671,Gerald,Gerald C. Marrone,Marrone,C.,MALE,Mr.,,senior vp-administration,8/14/1942,Leo,1120,8,14,,,,,,0,0,1,,1
6266,1942,47816010,New Brunswick,JOHNSON & JOHNSON,Pharmaceuticals,NJ,25945,Roger,Roger S. Fine,Fine,S.,MALE,Mr.,,vp & general counsel,9/22/1942,Virgo,3673,9,22,,,,,,0,0,,1,1
10983,1942,91301710,Farmington,UNITED TECHNOLOGIES CORP,Aerospace & Defense,CT,27455,Willia,"William L. Bucknall, Jr.","Bucknall, Jr.",L.,MALE,Mr.,,senior vp-human resources & organization,10/22/1942,Libra,3303,10,22,,,,,,0,0,1,,1
25124,1942,74005P10,Danbury,PRAXAIR INC,Industrial Gases,CT,1709,David,David H. Chaifetz,Chaifetz,H.,MALE,Mr.,74,"vp, general counsel & secretary",11/6/1942,,715,11,6,,,,,,0,0,,1,1
64853,1942,74736K10,Greensboro,QORVO INC,Semiconductors,NC,20500,Powell,Powell T. Seymour,Seymour,T.,MALE,Mr.,74,vp-strategic operations & secretary,11/16/1942,Scorpio,3448,11,16,,,,,,0,0,,1,1
179437,1942,3042010,Voorhees,AMERICAN WATER WORKS CO INC,Water Utilities,NJ,48895,George,George W. Patrick,Patrick,W.,MALE,Mr.,73,"Senior Vice President, Secretary and General Counsel",12/25/1942,Capricorn,1115,12,25,,,,,,0,0,1,,1
8972,1943,75511150,Waltham,RAYTHEON CO,Aerospace & Defense,MA,26065,Jack,Jack R. Kelble,Kelble,R.,MALE,Mr.,,vice president,1/2/1943,capricorn,1389,1,2,,,,,,0,0,,1,1
4060,1943,26054310,Midland,DOW CHEMICAL,Diversified Chemicals,MI,12617,Arnold,Arnold A. Allemang,Allemang,A.,MALE,Mr.,74,executive vp-operations,2/16/1943,Aquarius,214,2,16,,,,,,0,0,,1,1
5709,1943,44045210,Austin,HORMEL FOODS CORP,Packaged Foods & Meats,MN,20636,James,James A. Jorgenson,Jorgenson,A.,MALE,Mr.,,senior vp,2/25/1943,pisces,1409,2,25,,,,,,0,0,1,,1
6649,1943,52466010,Carthage,LEGGETT & PLATT INC,Home Furnishings,MO,12726,Michae,Michael A. Glauber,Glauber,A.,MALE,Mr.,74,senior vp-finance and administration,3/10/1943,Pisces,2505,3,10,,,,,,0,0,1,,1
5234,1943,38255010,Akron,GOODYEAR TIRE & RUBBER CO,Tires & Rubber,OH,12426,C.,"C. Thomas Harvie, Esq.","Harvie, Esq.",Thoma,MALE,Mr.,72,"senior vp, general counsel & secretary",3/28/1943,Aries,447,3,28,,,,,,0,0,1,,1
29736,1943,89235610,Brentwood,TRACTOR SUPPLY CO,Specialty Stores,TN,25036,Calvin,Calvin B. Massmann,Massmann,B.,MALE,Mr.,,senior vp,4/11/1943,Aries,452,4,11,,,,,,0,0,1,,1
7343,1943,59511210,Boise,MICRON TECHNOLOGY INC,Semiconductors,ID,40603,Mario,Mario Licciardello,Licciardello,,MALE,Mr.,74,Vice President of Wireless Solutions,4/11/1943,Virgo,2312,4,11,,,,,,0,0,,1,1
8151,1943,68268010,Tulsa,ONEOK INC,Oil & Gas Storage & Transportation,OK,24860,Edmund,Edmund J. Farrell,Farrell,J.,MALE,Mr.,,senior vp-administration,4/21/1943,Taurus,811,4,21,,,,,,0,0,1,,1
25340,1943,23331A10,Fort Worth,D R HORTON INC,Homebuilding,TX,20684,Samuel,Samuel R. Fuller,Fuller,R.,MALE,Mr.,73,senior executive vp,5/3/1943,Taurus,3746,5,3,,,,,,0,0,1,,1
4510,1943,30249130,Philadelphia,FMC CORP,Fertilizers & Agricultural Chemicals,PA,18688,Robert,Robert I. Harries,Harries,I.,MALE,Mr.,,senior vp; general manager-industrial chemicals group and shared ser,5/5/1943,Taurus,2836,5,5,,,,,,0,0,,1,1
27845,1943,G0177J10,Dublin,ALLERGAN PLC,Pharmaceuticals,Ir,33947,Thomas,Thomas R. Russillo,Russillo,R.,MALE,Mr.,72,Executive Vice President of Global Generics and President of the Glo,5/7/1943,Taurus,3025,5,7,,,,,,0,0,,1,1
4503,1943,30231G10,Irving,EXXON MOBIL CORP,Integrated Oil & Gas,TX,32626,Paul,Paul E. Sullivan,Sullivan,E.,MALE,Mr.,72,vp & general tax counsel,5/27/1943,Gemini,5110,5,27,,,,,,0,0,,1,1
14282,1943,3209510,Wallingford,AMPHENOL CORP,Electronic Components,CT,34895,Edward,Edward G. Jepsen,Jepsen,G.,MALE,Mr.,75,executive vp,6/18/1943,Gemini,831,6,18,,,,,,0,0,,1,1
184500,1943,12503M10,Chicago,CBOE HOLDINGS INC,Financial Exchanges & Data,IL,42380,Richar,Richard G. DuFour,DuFour,G.,MALE,Mr.,72,Executive Vice President,6/27/1943,Cancer,3604,6,27,,,,,,0,0,,1,1
24216,1943,00130H10,Arlington,AES CORP,Independent Power Producers & Energy Trade,VA,3894,Robert,"Robert F. Hemphill, Jr.","Hemphill, Jr.",F.,MALE,Mr.,73,executive vp,7/23/1943,Leo,2819,7,23,,,,,,0,0,,1,1
1078,1943,282410,North Chicago,ABBOTT LABORATORIES,Health Care Equipment,IL,45354,Richar,Richard W. Ashley,Ashley,W.,MALE,Mr.,72,Executive Vice President of Corporate Development,7/24/1943,Leo,2738,7,24,,,,,,0,0,,1,1
10035,1943,85747710,Boston,STATE STREET CORP,Asset Management & Custody Banks,MA,20847,Mauree,Maureen Scannell Bateman,Bateman,Scann,FEMA,Ms.,,executive vp & general counsel,7/27/1943,Leo,2487,7,27,,,,,,0,0,,1,1
11228,1943,92916010,Birmingham,VULCAN MATERIALS CO,Construction Materials,AL,29738,Willia,"William F. Denson, III","Denson, III",F.,MALE,Mr.,73,senior vp & general counsel,8/1/1943,Leo,3266,8,1,,,,,,0,0,1,,1
7985,1943,66680710,Falls Church,NORTHROP GRUMMAN CORP,Aerospace & Defense,VA,32638,Jerry,Jerry B. Agee,Agee,B.,MALE,Mr.,72,vp;president-mission systems,8/5/1943,Leo,1727,8,5,,,,,,0,0,,1,1
11672,1943,87254010,Framingham,TJX COMPANIES INC,Apparel Retail,MA,40114,Jerome,Jerome R. Rossi,Rossi,R.,MALE,Mr.,74,Senior Executive Vice President,8/12/1943,Leo,1723,8,12,,,,,,0,0,1,,1
11506,1943,96945710,Tulsa,WILLIAMS COS INC,Oil & Gas Storage & Transportation,OK,18864,Willia,William G. von Glahn,von Glahn,G.,MALE,Mr.,,senior vp & general counsel,8/29/1943,Virgo,3274,8,29,,,,,,0,0,1,,1
1075,1943,72348410,Phoenix,PINNACLE WEST CAPITAL CORP,Electric Utilities,AZ,19093,Armand,Armando B. Flores,Flores,B.,MALE,Mr.,,executive vp-corporate business services-APS,11/15/1943,,207,11,15,,,,,,0,0,,1,1
8247,1943,69350610,Pittsburgh,PPG INDUSTRIES INC,Specialty Chemicals,PA,10461,Frank,Frank A. Archinaco,Archinaco,A.,MALE,Mr.,67,executive vp,12/10/1943,Sagittarius,956,12,10,,,,,,0,0,,1,1
1878,1943,5276910,San Rafael,AUTODESK INC,Application Software,CA,23413,Marcia,Marcia K. Sterling,Sterling,K.,FEMA,Ms.,,"senior vp, general counsel & secretary",12/17/1943,Sagittarius,2289,12,17,,,,,,0,0,1,,1
5046,1944,36955010,Falls Church,GENERAL DYNAMICS CORP,Aerospace & Defense,VA,16549,David,David A. Savner,Savner,A.,MALE,Mr.,72,"Senior Vice President, Secretary and General Counsel",1/15/1944,,656,1,15,,,,,,0,0,1,,1
5047,1944,36960410,Boston,GENERAL ELECTRIC CO,Industrial Conglomerates,MA,2741,Benjam,"Benjamin W. Heineman, Jr.","Heineman, Jr.",W.,MALE,Mr.,,senior vp-law & public affairs,1/25/1944,Aquarius,279,1,25,,,,,,0,0,1,,1
10867,1944,90781810,Omaha,UNION PACIFIC CORP,Railroads,NE,5748,Carl,Carl W. von Bernuth,von Bernuth,W.,MALE,Mr.,,"senior vp, general counsel & secretary",2/4/1944,Aquarius,466,2,4,,,,,,0,0,1,,1
28930,1944,57190320,Bethesda,MARRIOTT INTL INC,"Hotels, Resorts & Cruise Lines",MD,14933,James,"James M. Sullivan, Sr.","Sullivan, Sr.",M.,MALE,Mr.,72,executive vp-lodging development,2/8/1944,Aquarius,1525,2,8,,,,,,0,0,,1,1
4108,1944,34354P10,Irving,FLOWSERVE CORP,Industrial Machinery,TX,5485,George,George A. Shedlarski,Shedlarski,A.,MALE,Mr.,,vp; president-flow control division,2/20/1944,Pisces,1088,2,20,,,,,,0,0,,1,1
1440,1944,2553710,Columbus,AMERICAN ELECTRIC POWER CO,Electric Utilities,OH,26004,Thomas,Thomas M. Hagan,Hagan,J.,MALE,Mr.,71,executive vp,3/18/1944,Pisces,2999,3,18,,,,,,0,0,,1,1
4058,1944,26000310,Downers Grove,DOVER CORP,Industrial Machinery,IL,32519,Ralph,Ralph S. Coppola,Coppola,S.,MALE,Mr.,71,vp-;president-engineered products platform,4/3/1944,Aries,3486,4,3,,,,,,0,0,,1,1
9846,1944,28102010,Rosemead,EDISON INTERNATIONAL,Electric Utilities,CA,32520,Jacob,"Jacob A. Bouknight, Jr.","Bouknight, Jr",A.,MALE,Mr.,71,former executive vp & general counsel,4/9/1944,aries,1391,4,9,,,,,,0,0,,1,1
3504,1944,21664840,Pleasanton,COOPER COMPANIES INC,Health Care Supplies,CA,32413,Eugene,Eugene J. Midlock,Midlock,J.,MALE,Mr.,72,Vice President of Taxes,4/13/1944,Aries,918,4,13,,,,,,0,0,,1,1
1209,1944,915810,Allentown,AIR PRODUCTS & CHEMICALS INC,Industrial Gases,PA,20522,Andrew,Andrew E. Cummins,Cummins,E.,MALE,Mr.,,group vp-chemicals,5/2/1944,Taurus,130,5,2,,,,,,0,0,1,,1
8272,1944,81685110,San Diego,SEMPRA ENERGY,Multi-Utilities,CA,26015,Frank,Frank H. Ault,Ault,H.,MALE,Mr.,,senior vp & controller,5/4/1944,Taurus,969,5,4,,,,,,0,0,1,,1
7974,1944,65473P10,Merrillville,NISOURCE INC,Multi-Utilities,IN,24744,S.,S. LaNette Zimmerman,Zimmerman,LaNet,FEMA,Ms.,,executive vp-human resources and communications,6/21/1944,Cancer,3730,6,21,,,,,,0,0,,1,1
4674,1944,7591EP10,Birmingham,REGIONS FINANCIAL CORP,Regional Banks,AL,42491,Fourni,"Fournier J. Gale, III","Gale, III",J.,MALE,Mr.,74,"Senior Executive Vice President, General Counsel, Corporate Secretar",8/3/1944,Leo,942,8,3,,,,,,0,0,1,,1
64853,1944,74736K10,Greensboro,QORVO INC,Semiconductors,NC,20498,Jerry,Jerry D. Neal,Neal,D.,MALE,Dr.,72,Co-Founder and Executive Vice President of Marketing & Strategic Dev,9/4/1944,Virgo,1729,9,4,,,,,,0,0,,1,1
27845,1944,G0177J10,Dublin,ALLERGAN PLC,Pharmaceuticals,Ir,8331,David,"David C. Hsia, Ph.D.","Hsia, Ph.D.",C.,MALE,Dr.,71,former senior vp-scientific affairs,9/9/1944,,681,9,9,,,,,,0,0,1,,1
16245,1944,71270410,Bridgeport,PEOPLE'S UNITED FINL INC,Regional Banks,CT,35177,Henry,Henry R. Mandel,Mandel,R.,MALE,Mr.,72,executive vp-organization effectiveness,9/30/1944,libra,1288,9,30,,,,,,0,0,,1,1
7974,1944,65473P10,Merrillville,NISOURCE INC,Multi-Utilities,IN,2615,Michae,Michael W. O'Donnell,O'Donnell,W.,MALE,Mr.,71,Executive Vice President,10/13/1944,Libra,4930,10,13,,,,,,0,0,,1,1
1380,1944,42809H10,New York,HESS CORP,Oil & Gas Exploration & Production,NY,10609,J.,"J. Barclay Collins, II","Collins, II",Barcl,MALE,Mr.,71,executive vp & general counsel,10/21/1944,libra,1345,10,21,,,,,,0,0,,1,1
1722,1944,3948310,Chicago,ARCHER-DANIELS-MIDLAND CO,Agricultural Products,IL,32785,Lewis,Lewis W. Batchelder,Batchelder,W.,MALE,Mr.,71,senior vp,10/30/1944,Scorpio,2189,10,30,,,,,,0,0,1,,1
5047,1944,36960410,Boston,GENERAL ELECTRIC CO,Industrial Conglomerates,MA,18566,Gary,Gary L. Rogers,Rogers,L.,MALE,Mr.,72,vice chairman & executive vp,11/15/1944,Scorpio,1058,11,15,,,,,,0,0,,1,1
7366,1944,29364G10,New Orleans,ENTERGY CORP,Electric Utilities,LA,2472,Jerry,Jerry D. Jackson,Jackson,D.,MALE,Mr.,72,executive vp,11/18/1944,Scorpio,1728,11,18,,,,,,0,0,,1,1
5046,1944,36955010,Falls Church,GENERAL DYNAMICS CORP,Aerospace & Defense,VA,16273,W.,"W. William Boisture, Jr.","Boisture, Jr.",Willi,MALE,Mr.,72,executive vp; president-Gulfstream,12/1/1944,Sagittarius,3175,12,1,,,,,,0,0,,1,1
6078,1944,45950610,New York,INTL FLAVORS & FRAGRANCES,Specialty Chemicals,NY,18961,Stephe,Stephen A. Block,Block,A.,MALE,Mr.,,"senior vp, general counsel & secretary",12/14/1944,Sagittarius,3861,12,14,,,,,,0,0,1,,1
4029,1944,25746U10,Richmond,DOMINION ENERGY INC,Multi-Utilities,VA,38174,James,James F. Stutts,Stutts,F.,MALE,Mr.,71,"Senior Vice President, General Counsel, Senior Vice President of Vir",12/27/1944,Capricorn,1477,12,27,,,,,,0,0,1,,1
7881,1945,65163910,Greenwood Villag,NEWMONT MINING CORP,Gold,CO,45472,Thomas,Thomas P. Mahoney,Mahoney,P.,MALE,Mr.,61,Vice President and Treasurer,1/28/1945,Aquarius,3017,1,28,,,,,,0,0,,1,1
4060,1945,26054310,Midland,DOW CHEMICAL,Diversified Chemicals,MI,23177,Richar,Richard L. Manetta,Manetta,L.,MALE,Mr.,,corporate vp & general counsel,2/13/1945,Aquarius,2708,2,13,,,,,,0,0,,1,1
